name,price,link
The Row," ,€ 2,329, ,€ 1,325, ,€ 1,229, ,€ 959",/int/en/men/the-row-giorgio-silk-shirt-neutrals-p00835898
The Row," ,€ 1,239, ,€ 845, ,€ 507",/int/en/men/the-row-zachary-long-sleeved-wool-shirt-grey-p00575239
Loro Piana," ,€ 795, ,€ 749, ,€ 1,895, ,€ 585, ,€ 465",/int/en/men/loro-piana-leather-loafers-brown-p00808676
Burberry," ,€ 1,475, ,€ 835, ,€ 1,055",/int/en/men/burberry-shield-ekd-leather-loafers-black-p00932563
Brunello Cucinelli," ,€ 3,325, ,€ 665, ,€ 749, ,€ 969",/int/en/men/brunello-cucinelli-leather-loafers-beige-p00895783
Saint Laurent," ,€ 1,845, ,€ 405, ,€ 825, ,€ 919, ,€ 715",/int/en/men/saint-laurent-slim-grained-leather-belt-black-p00492146
Visvim," ,€ 439, ,€ 1,349, ,€ 709, ,€ 239",/int/en/men/visvim-hammons-santome-wool-and-linen-blazer-grey-p00907991
Loewe," ,€ 1,009, ,€ 635, ,€ 925, ,€ 659",/int/en/men/loewe-striped-cotton-poplin-shirt-blue-p00883881
Burberry," ,€ 1,219, ,€ 665, ,€ 3,775",/int/en/men/burberry-embellished-leather-loafers-black-p00896262
Gucci," ,€ 1,255, ,€ 755",/int/en/men/gucci-gg-embellished-leather-loafers-brown-p00939638
Loewe," ,€ 2,355, ,€ 749, ,€ 449, ,€ 825, ,€ 925",/int/en/men/loewe-wool-pants-black-p00697515
Gucci," ,€ 749, ,€ 659, ,€ 489, ,€ 755, ,€ 775",/int/en/men/gucci-mid-rise-straight-jeans-blue-p00737597
Gucci," ,€ 1,665, ,€ 659, ,€ 489, ,€ 755, ,€ 775",/int/en/men/gucci-mid-rise-straight-jeans-blue-p00737597
Burberry," ,€ 799, ,€ 665, ,€ 919",/int/en/men/burberry-embellished-leather-loafers-black-p00896262
Bottega Veneta," ,€ 1,765, ,€ 835, ,€ 799, ,€ 549, ,€ 3,279",/int/en/men/bottega-veneta-haddock-leather-derby-shoes-black-p00890603
Moncler," ,€ 580, ,€ 440",/int/en/men/moncler-cotton-chinos-neutrals-p00903891
Saint Laurent," ,€ 835, ,€ 2,315, ,€ 405, ,€ 825",/int/en/men/saint-laurent-solferino-medium-leather-shoulder-bag-black-p00709444
Lemaire," ,€ 749, ,€ 415, ,€ 439, ,€ 609",/int/en/men/lemaire-twisted-barrel-leg-jeans-black-p00883739
Gucci," ,€ 1,009, ,€ 669, ,€ 1,135",/int/en/men/gucci-mac80-leather-sneakers-white-p00815903
Burberry," ,€ 635, ,€ 1,589, ,€ 1,055, ,€ 609",/int/en/men/burberry-technical-parka-beige-p00896322
Lemaire," ,€ 919, ,€ 439, ,€ 665, ,€ 499, ,€ 319",/int/en/men/lemaire-piped-leather-loafers-black-p00750689
Gucci," ,€ 1,505, ,€ 755, ,€ 1,095, ,€ 1,665, ,€ 799",/int/en/men/gucci-gg-embellished-leather-loafers-brown-p00939638
Burberry," ,€ 555, ,€ 609",/int/en/men/burberry-leather-derby-shoes-black-p00896264
Givenchy," ,€ 605, ,€ 880, ,€ 1,260",/int/en/men/givenchy-mr-g-leather-loafers-black-p00876332
Bottega Veneta," ,€ 549, ,€ 2,105, ,€ 1,009, ,€ 2,105",/int/en/men/bottega-veneta-small-intrecciato-leather-tote-bag-green-p00897170
Thom Browne," ,€ 659, ,€ 1,179, ,€ 589, ,€ 1,995, ,€ 1,315",/int/en/men/thom-browne-4-bar-wool-tweed-pants-grey-p00821943
